Tipo;Ano;Autores;T«tulo
Artigo;2018;LUGARINI C ET AL;[**LACK OF DETECTION OF AVIAN INFLUENZA, NEWCASTLE DISEASE, AND WEST NILE VIRUSES IN WILD BIRDS OF NORTHEASTERN BRAZIL. JOURNAL OF WILDLIFE DISEASES 54(2):422-425**](https://drive.google.com/file/d/1nN-cNweZIyjGo5iK8_b3pK5sKqqmcISu/view?usp=drive_link)
Artigo;2018;SILVA JMC ET AL;[**NICHE EXPANSION OF THE COMMON WAXBILL (*ESTRILDA ASTRILD*) IN ITS NON-NATIVE RANGE IN BRAZIL. BIOLOGICAL INVASIONS 20:2635-2646**](https://drive.google.com/file/d/15xDNrd4ODwkhgKg-Ce9Kat5vAePWQBsd/view?usp=drive_link)
Artigo;2018;PALUDO D ET AL;[**REPRODUCTION OF EUDOCIMUS RUBER IN THE IGUAPE ESTUARY COMPLEX, S«üO PAULO, BRAZIL. ATUALIDADES ORNITOL«?GICAS 202:8-15**](https://drive.google.com/file/d/1SG2b-wBT-43cfLJw2T6yJ1iq_QrlUOJL/view?usp=drive_link)
Artigo;2018;LUGARINI C ET AL;[**ENDOPARASITES IN BIRDS OF GUARIBAS BIOLOGICAL RESERVA, ATLANTIC FOREST, PARA«çBA, BRASIL. CI«?NCIA ANIMAL BRASILEIRA 19:1-8**](https://drive.google.com/file/d/1pXUES3jyrSbnBNbq8oNBH_9hU0-R17xK/view?usp=drive_link)
Resumo;2018;FERREIRA A ET AL;[**ESTRAT«?GIA E EXTENS«üO DE MUDA DE PASSERIFORMES EM UNIDADES DE CONSERVA«?«üO DA ILHA DE SANTA CATARINA E ARVOREDO, SANTA CATARINA. XXV CONGRESSO BRASILEIRO DE ORNITOLOGIA. JO«üO PESSOA, BRASIL**](https://drive.google.com/file/d/1Viqtp-zmC2y5Y5W1JyeRSZTcBSzc75mj/view?usp=drive_link)
Resumo;2018;SERAFINI PP ET AL;[**VALORES HEMATOL«?GICOS E BIOQU«çMICOS DE REFER«?NCIA PARA ATOB«Å-MARROM (*SULA LEUCOGASTER*) EM «ÅREA DE DISTRIBUI«?«üO NO SUL DO BRASIL. XXV CONGRESSO BRASILEIRO DE ORNITOLOGIA. JO«üO PESSOA, BRASIL**](https://drive.google.com/file/d/1B_Cj-MbADFn1pPgAX7JMqlqOCAREY8jH/view?usp=drive_link)
Resumo;2018;SERAFINI PP ET AL;[**VALORES HEMATOL«?GICOS E BIOQU«çMICOS DE REFER«?NCIA PARA GAIVOT«üO (*LARUS DOMINICANUS*) EM «ÅREA DE DISTRIBUI«?«üO NO SUL DO BRASIL. XXV CONGRESSO BRASILEIRO DE ORNITOLOGIA. JO«üO PESSOA, BRASIL**](https://drive.google.com/file/d/1jmAZ4NuDeOn-7U-D-MoaHrcghE_GBJvh/view?usp=drive_link)
Resumo;2018;SOUSA N ET AL;[**CAPTURA E TR«ÅFICO DE PSITAC«çDEOS NA REGI«üO DE CURA«?«Å, BAHIA: UMA AMEA«?A «? REINTRODU«?«üO DA ARARINHA-AZUL (*CYANOPSITTA SPIXII*). XXV CONGRESSO BRASILEIRO DE ORNITOLOGIA. JO«üO PESSOA, BRASIL**](https://drive.google.com/file/d/1zj4ICotHRow8ViLFcde580M11mFVtx6j/view?usp=drive_link)
Resumo;2018;PRATES CSF ET AL;[**CARACTER«çSTICAS DA CAVIDADE-NINHO E DO MICROH«ÅBITAT QUE INFLUENCIAM O SUCESSO REPRODUTIVO DA MARACAN«ü, PRIMOLIUS MARACANA, NA REGI«üO DE CURA«?«Å, BAHIA. XXV CONGRESSO BRASILEIRO DE ORNITOLOGIA. JO«üO PESSOA, BRASIL**](https://drive.google.com/file/d/1ScgIw00mjqY2-svlceiY7jwaCD9JdEeH/view?usp=drive_link)
Resumo;2018;LUGARINI C ET AL;[**IMMATURE STAGES OF TICKS IN TERRRESTRIAL BIRDS OF TWO PROTECTED «ÅREAS LOCALIZED IN ISLANDS OF SOUTHESTERN BRAZILIAN ATLANTIC FOREST. XXV CONGRESSO BRASILEIRO DE ORNITOLOGIA. JO«üO PESSOA, BRASIL**](https://drive.google.com/file/d/1nqSaBq-y1qlt_63QrGtAlO4n8GkxB9iV/view?usp=drive_link)
Resumo;2018;SOUSA AEBA ET AL;[**ESTIMATIVA DE DENSIDADE POPULACIONAL DE AVES AMEA«?ADAS DA RESERVA BIOL«?GICA GUARIBAS. MEM«?RIAS DA REUNI«üO DE PESQUISA E CONSERVA«?«üO DA NATUREZA NO LITORAL NORTE DA PARA«çBA. MAMANGUAPE, BRASIL**](https://drive.google.com/file/d/1hMhsCAOK0tCG0ozTFpovLKi1rem-3Ju3/view?usp=drive_link)
Livro;2018;MENDES DL ET AL (ORGS);[**PLANO DE A«?«üO NACIONAL PARA A CONSERVA«?«üO DAS AVES DA CAATINGA. INSTITUTO CHICO MENDES DE CONSERVA«?«üO DA BIODIVERSIDADE. BRAS«çLIA, BRASIL**](https://drive.google.com/file/d/1uGNPG0k6VvWtl-AECDoIZ-mzZBp-fa6f/view?usp=drive_link)
Resumo;2018;MACHADO BB & SERAFINI PP;[**ALBATROZES E PETR«?IS ENCONTRADOS NA COSTA BRASILEIRA: QUAIS S«üO SEUS VALORES HEMATOL«?GICOS DE REFER«?NCIA PARA ORIENTAR A SOLTURA DE AVES OCE«?NICAS AMEA«?ADAS? X SEMIN«ÅRIO DE PESQUISA E X ENCONTRO DE INICIA«?«üO CIENT«çFICA DO INSTITUTO CHICO MENDES DE CONSERVA«?«üO DA BIODIVERSIDADE PESQUISAS ESTRAT«?GICAS PARA O DESENVOLVIMENTO SOCIOAMBIENTAL, ICMBIO. BRAS«çLIA, BRASIL**](https://drive.google.com/file/d/1sZFdr8ErIBVzCUh1B4hgtzBNAtIRa8TF/view?usp=drive_link)
Resumo;2018;FERREIRA A ET AL;[**CARACTERIZA«?«üO DOS PADR«?ES DE MUDAS EM AVES DE SANTA CATARINA, BRASIL. X SEMIN«ÅRIO DE PESQUISA E X ENCONTRO DE INICIA«?«üO CIENT«çFICA DO INSTITUTO CHICO MENDES DE CONSERVA«?«üO DA BIODIVERSIDADE PESQUISAS ESTRAT«?GICAS PARA O DESENVOLVIMENTO SOCIOAMBIENTAL, ICMBIO. BRAS«çLIA, BRASIL**](https://drive.google.com/file/d/131hpMkn2ZcXamqsb5szQZIS7tCLUIw8g/view?usp=drive_link)
Resumo;2018;LUGARINI C ET AL;[**COMO POTENCIALIZAR A OBSERVA«?«üO DE AVES NAS UNIDADES DE CONSERVA«?«üO?. IX CONGRESSO BRASILEIRO DE UNIDADES DE CONSERVA«?«üO. FLORIAN«?POLIS, BRASIL**](https://drive.google.com/file/d/16grv_qtPf8DHBT_Rih1xFrfAE5dXtCEf/view?usp=drive_link)
Resumo expandido;2018;PALUDO D ET AL;[**DISTRIBUI«?«üO E MANEJO DE AVES LIM«çCOLAS MIGRAT«?RIAS NO LITORAL NORTE DO BRASIL. IX CONGRESSO BRASILEIRO DE UNIDADES DE CONSERVA«?«üO. FLORIAN«?POLIS, BRASIL**](https://drive.google.com/file/d/1pSnXBgwYOxJaxQ7I4RPOwdIYE8b3sgyA/view?usp=drive_link)
Artigo;2017;ARAUJO J ET AL;[**MIGRATORY BIRDS IN SOUTHERN BRAZIL ARE A SOURCE OF MULTIPLE AVIAN INFLUENZA VIRUS SUBTYPES. INFLUENZA OTHER RESPI VIRUSES 12:220É??231**](https://drive.google.com/file/d/1tn3SmwwVwQwo8Z--k-tEoPwMQuVA7GI_/view?usp=drive_link)
Artigo;2017;VAZ FF ET AL;[**SURVEY OF PATHOGENS IN THREATENED WILD RED-TAILED AMAZON PARROT (*AMAZONA BRASILIENSIS*) NESTLINGS IN RASA ISLAND, BRAZIL. BRAZILIAN JOURNAL OF MICROBIOLOGY 48(4):747-753**](https://drive.google.com/file/d/1MKMY-No4pXR9_D9iZY_hBhLzPHXbuADv/view?usp=drive_link)
Artigo;2017;SCHMIDT EMS ET AL;[**PLASMA PROTEIN CONCENTRATIONS OF THE YOUNG AND ADULT *AMAZONA BRASILIENSIS* PARROTS. VETERINARSKI GLASNIK 71(1):44-51**](https://drive.google.com/file/d/1L7c0QLrrTap0gjc35Sb-jnig4juAkWmU/view?usp=drive_link)
Artigo;2017;LIMA DM ET AL;[**OBSERVATION OF SCAVENGING EVENTS ON SHELLS OF MEGALOBULIMUS (GASTROPODA, PULMONATA) BY LEAR'S MACAWS. THE FESTIVUS 49(4):328-331**](https://drive.google.com/file/d/1EYimIgvyNhxVPFN3zAsB-uw8Bj0I37vs/view?usp=drive_link)
Artigo;2017;BERKUNSKY I ET AL;[**CURRENT THREATS FACED BY NEOTROPICAL PARROT POPULATIONS. BIOLOGICAL CONSERVATION 214:278-287**](https://drive.google.com/file/d/1UkcygcZa8CmNNjr36HXk8JPtf981Cu2F/view?usp=drive_link)
Resumo;2017;BERKUNSKY I ET AL;[**CURRENT THREATS FACED BY NEOTROPICAL PARROT POPULATIONS. ORNITHOLOGICAL CONGRESS OF THE AMERICAS. PUERTO IGUAZU, ARGENTINA**](https://drive.google.com/file/d/1ppVvz3aJsyT2IzBzv9h88C_Cwu1924zR/view?usp=drive_link)
Resumo;2017;LUGARINI C ET AL;[**REPRODUCTIVE BIOLOGY OF THE BLUE-WINGED MACAW (*PRIMOLIUS MARACANA*) IN THE REGION OF CURA«?«Å, BAHIA, BRAZIL. ORNITHOLOGICAL CONGRESS OF THE AMERICAS. PUERTO IGUAZU, ARGENTINA**](https://drive.google.com/file/d/1M5WGA-MKg5VZ7hDGt4G31SwPP0lTwXwx/view?usp=drive_link)
Resumo;2017;PALUDO D;[**THE NEED FOR AND THE IMPORTANCE OF SHOREBIRD DATA ON A BRAZILIAN PERSPECTIVE. ORNITHOLOGICAL CONGRESS OF THE AMERICAS. PUERTO IGUAZU, ARGENTINA**](https://drive.google.com/file/d/1Km7UCrBEFrSbokJOnGiz338IBdG8FTh5/view?usp=drive_link)
Resumo;2017;FERREIRA A ET AL;[**SEX AND AGE DETERMINATION OF CREAMY-BELLIED THRUSH, *TURDUS AMAROCHALINUS*, AT CARIJ«?S ECOLOGICAL STATION, SANTA CATARINA, BRAZIL. ORNITHOLOGICAL CONGRESS OF THE AMERICAS. PUERTO IGUAZU, ARGENTINA**](https://drive.google.com/file/d/1VlpBd8_XfUdZpDTx6fyDgTd-10EfUofp/view?usp=drive_link)
Resumo;2017;CARDOSO DA ET AL;[**BACTERIAL RESISTANCE TO ANTIBIOTICS IN PROCELLARIIFORMES: THREATS FOR ENDANGERED OCEANIC BIRDS OR SIGNS OF COEVOLUTION? ORNITHOLOGICAL CONGRESS OF THE AMERICAS. PUERTO IGUAZU, ARGENTINA**](https://drive.google.com/file/d/17oSCD2tbihZkxYdaXyhX9s2Y3uiOq2C6/view?usp=drive_link)
Resumo;2017;SOMENZARI M ET AL;[**RED-BROWED PARROT PROJET (*AMAZONA RHODOCORYTHA*): CONSERVATION AT MINAS GERAIS AND RIO DE JANEIRO STATES, BRAZIL. ORNITHOLOGICAL CONGRESS OF THE AMERICAS. PUERTO IGUAZU, ARGENTINA**](https://drive.google.com/file/d/1NSyqDQ_mq-MZxEbUotuUOaxc8Rc0Ed1j/view?usp=drive_link)
Resumo;2017;SERAFINI PP;[**NATIONAL BANDING SCHEME OF BRAZIL: LINKING BANDERS AND BIRD CONSERVATION ACROSS THE COUNTRY. ORNITHOLOGICAL CONGRESS OF THE AMERICAS. PUERTO IGUAZU, ARGENTINA**](https://drive.google.com/file/d/1HGiaBz7JrR5WFrkjLUOX1cmXM8kIDcIU/view?usp=drive_link)
Resumo;2017;PALUDO D;[**PLANO DE A«?«üO PARA A CONSERVA«?«üO DAS AVES LIMICOLAS MIGRATORIAS NO BRASIL: AVALIA«?«üO DOS PRIMEIRO QUATRO ANOS (2013-2017). LIBRO DE RESUMENES 7MA REUNIAO DEL GRUPO DE AVES PLAYERAS DEL HEMISFERIO OCCIDENTAL. LIMA, PERU**](https://drive.google.com/file/d/1OsJCFIVFv_YNZNKFH9rdIug71tqH0x4C/view?usp=drive_link)
Resumo;2017;RAMA AC ET AL;[**CARACTERIZA«?«üO DE AVES E MAM«çFEROS TERRESTRES DE M«?DIO E GRANDE PORTE NA FLORESTA NACIONAL DO JAMARI, ROND«?NIA, BRASIL. IX SEMIN«ÅRIO DE PESQUISA E IX ENCONTRO DE INICIA«?«üO CIENT«çFICA DO INSTITUTO CHICO MENDES DE CONSERVA«?«üO DA BIODIVERSIDADE, ICMBIO. BRAS«çLIA, BRASIL**](https://drive.google.com/file/d/1k1hDugchHWqTsuCYOuS4wMDAbykQELIK/view?usp=drive_link)
Resumo;2017;FERREIRA A ET AL;[**CARACTERIZA«?«üO DOS PADR«?ES DE MUDAS EM AVES DA ESTA«?«üO ECOL«?GICA CARIJ«?S, SANTA CATARINA, BRASIL. IX SEMIN«ÅRIO DE PESQUISA E IX ENCONTRO DE INICIA«?«üO CIENT«çFICA DO INSTITUTO CHICO MENDES DE CONSERVA«?«üO DA BIODIVERSIDADE, ICMBIO. BRAS«çLIA, BRASIL**](https://drive.google.com/file/d/1XkYtX67Lo3Sj4SxbSlXr1vzT1RVbkNki/view?usp=drive_link)
Resumo;2017;PRATES C ET AL;[**DESENVOLVIMENTO DE FILHOTES DE MARACAN«ü (PRIMOLIUS MARACANA) NA REGI«üO DE OCORR«?NCIA HIST«?RICA DA ARARINHA-AZUL (CYANOPSITTA SPIXII). IX SEMIN«ÅRIO DE PESQUISA E IX ENCONTRO DE INICIA«?«üO CIENT«çFICA DO INSTITUTO CHICO MENDES DE CONSERVA«?«üO DA BIODIVERSIDADE, ICMBIO. BRAS«çLIA, BRASIL**](https://drive.google.com/file/d/1Zr1O4YBcN97mVhXHQd7Lnnc32OrjPNXq/view?usp=drive_link)
Resumo;2017;CARDOSO DA & SERAFINI PP;[**RESIST«?NCIA BACTERIANA EM PROCELLARIIFORMES: RISCOS PARA A CONSERVA«?«üO DE AVES OCE«?NICAS AMEA«?ADAS OU COEVOLU«?«üO? IX SEMIN«ÅRIO DE PESQUISA E IX ENCONTRO DE INICIA«?«üO CIENT«çFICA DO INSTITUTO CHICO MENDES DE CONSERVA«?«üO DA BIODIVERSIDADE, ICMBIO. BRAS«çLIA, BRASIL**](https://drive.google.com/file/d/15ITeR2-8lE-lf8FEwLVtCirDu-6AfHD3/view?usp=drive_link)
Resumo;2017;ANDRADE MV & SERAFINI PP;[**PERFIL SANIT«ÅRIO DE CARDEAIS-AMARELOS (*GUBERNATRIX CRISTATA*) EM CATIVEIRO E DE PASSERIFORMES EM «ÅREA SELECIONADA PARA SOLTURA EXPERIMENTAL VISANDO A REINTRODU«?«üO DE ESP«?CIE CRITICAMENTE AMEA«?ADA DE EXTIN«?«üO. IX SEMIN«ÅRIO DE PESQUISA E IX ENCONTRO DE INICIA«?«üO CIENT«çFICA DO INSTITUTO CHICO MENDES DE CONSERVA«?«üO DA BIODIVERSIDADE, ICMBIO. BRAS«çLIA, BRASIL**](https://drive.google.com/file/d/10HeZXqrPMKIgt9WVDpZ2YLQ565afZEK1/view?usp=drive_link)
Cartilha;2016;SIPINSKI EA ET AL;[**PAPAGAIOS DO BRASIL. SOCIEDADE DE ZOOL«?GICOS E AQU«ÅRIOS DO BRASIL & ICMBIO. BRAS«çLIA, BRASIL**](https://drive.google.com/file/d/1pTQ73pMe0b4uvHThdiQwilUveYJHj2au/view?usp=drive_link)
Artigo;2016;ELLIS VA ET AL;[**PREVALENCE OF AVIAN HAEMOSPORIDIAN PARASITES IS POSITIVELY RELATED TO THE ABUNDANCE OF HOST SPECIES AT MULTIPLE SITES WITHIN A REGION. PARASITOLOGY RESEARCH 116:73-80**](https://drive.google.com/file/d/1tAKhMeJKjuIgZmgfawd5RUfG9WHur7JY/view?usp=drive_link)
Cap«tulo;2016;PALUDO D ET AL;[**AVES MARINHAS. IN: VIDA MARINHA DE SANTA CATARINA. 2ED., ED. DA UFSC. FLORIAN«?POLIS, BRASIL**](https://drive.google.com/file/d/17q_hXtLsWE2aYZRUjGhhq__9LjBRCNmY/view?usp=drive_link)
Artigo;2016;MANCINI PL ET AL;[**BREEDING SEABIRD POPULATIONS IN BRAZILIAN OCEANIC ISLANDS: HISTORICAL REVIEW, UPDATE AND A CALL FOR CENSUS STANDARDIZATION. REVISTA BRASILEIRA DE ORNITOLOGIA 24(2):94-115**](https://drive.google.com/file/d/1uKZWg3K_8vG9j8xIpk5i6psEWqM3ILMI/view?usp=drive_link)
Artigo;2016;MESTRE LAM ET AL;[**HABITAT ASSOCIATIONS OF LAND BIRDS IN FERNANDO DE NORONHA, BRAZIL. ORNITOLOG«çA NEOTROPICAL 27:27-34**](https://drive.google.com/file/d/1F2CyGoVfpGmlZBR7zKQH9BWziLZGAT6F/view?usp=drive_link)
Artigo;2016;LEAL GR ET AL;[**BREEDING OF WHITE-TAILED TROPICBIRDS (*PHAETHON LEPTURUS*) IN THE WESTERN SOUTH ATLANTIC. BRAZILIAN JOURNAL OF BIOLOGY 76(3):559-567**](https://drive.google.com/file/d/1xusM6psLYGdzYyMC75fRC7LrXXFJ5KHY/view?usp=drive_link)
Artigo;2016;SILVA VRF ET AL;[**HEMATOLOGIC REFERENCE VALUES OF VINACEOUS-BREASTED AMAZON (*AMAZONA VINACEA*). CI«?NCIA RURAL 46(12):2135-2141**](https://drive.google.com/file/d/1aMt6gOMS4oSYsoc6GwscqZHnUz53Mz4c/view?usp=drive_link)
Artigo;2016;ANDRADE LHM ET AL;[**OCORR«?NCIA DE ANTICORPOS ANTI-TOXOPLASMA GONDII EM AVES SILVESTRES DE TR«?S UNIDADES DE CONSERVA«?«üO FEDERAIS DA PARA«çBA E DA BAHIA. PESQUISA VETERIN«ÅRIA BRASILEIRA 36(2):103-107**](https://drive.google.com/file/d/1FFND5ryCOlvC3YO2bMVZAndoypaq5pDS/view?usp=drive_link)
Artigo;2016;VIEIRA BP & SERAFINI PP;[**GUIDELINES FOR MANAGING AND MONITORING SEABIRDS IN THE ARVOREDO MARINE BIOLOGICAL RESERVE, SOUTHERN BRAZIL. BIODIVERSIDADE BRASILEIRA 6(1):174-189**](https://drive.google.com/file/d/1BXns2saLSa8nSqOm-RZoWXw_3BtAczpu/view?usp=drive_link)
Relat«¸rio;2016;OLIVEIRA AC ET AL;[**RELAT«?RIO ANUAL DE ROTAS E «ÅREAS DE CONCENTRA«?«üO DE AVES MIGRAT«?RIAS NO BRASIL. ICMBIO/MMA. BRAS«çLIA, BRASIL**](https://drive.google.com/file/d/17EXVkEXd7I-QDSS9f23kanNLzuAq8Fgu/view?usp=drive_link)
Artigo;2016;MENDES DL ET AL;[**AVIFAUNA DE UMA «ÅREA DE CAATINGA ARB«?REA E AMBIENTES ASSOCIADOS NO SERT«üO PARAIBANO, BRASIL. ORNITHOLOGIA 9(2):80-97**](https://drive.google.com/file/d/15JyHTwkDsjfcyXvXPDWN79pNCef2lGkE/view?usp=drive_link)
Resumo;2016;MEDEIROS RCS ET AL;[**INVENT«ÅRIO DA AVIFAUNA DA RESERVA BIOL«?GICA DA CONTAGEM, BRAS«çLIA/DF. XXIII CONGRESSO BRASILEIRO DE ORNITOLOGIA. PIREN«?POLIS, BRASIL**](https://drive.google.com/file/d/1yTon2mm72mhgPlkn994MGvtOrs1PdO62/view?usp=drive_link)
Resumo;2016;MEDEIROS RCS;[**O PLANO DE A«?«üO NACIONAL PARA A CONSERVA«?«üO DE AVES AMEA«?ADAS E O TR«ÅFICO DE ANIMAIS. XXIII CONGRESSO BRASILEIRO DE ORNITOLOGIA. PIREN«?POLIS, BRASIL**](https://drive.google.com/file/d/1kqCNxE-31z8p0VlGNW5R1yAfgEAvFVxo/view?usp=drive_link)
Resumo;2016;SCHMITZ AC ET AL;[**MICROBIOTA CLOACAL E DE OROFARINGE DE CARDEAIS-AMARELOS, GUBERNATRIX CRISTATA (VIEILLOT, 1817), VINCULADOS AO PROGRAMA DE CATIVEIRO. XXIII CONGRESSO BRASILEIRO DE ORNITOLOGIA. PIREN«?POLIS, BRASIL**](https://drive.google.com/file/d/1ekSsRNuKUHjr0YXaZK6d2fPAzm-I3thw/view?usp=drive_link)
Resumo;2016;LUGARINI C ET AL;[**ASSEMBLAGE OF AVIAN HAEMOSPORIDIAN IN TWO ECOSYSTEMS OF NORTHEAST BRAZIL. XXIII CONGRESSO BRASILEIRO DE ORNITOLOGIA. PIREN«?POLIS, BRASIL**](https://drive.google.com/file/d/1Pzy4auHGnUrPLCRJdS7_bzz-cyKFz3Ug/view?usp=drive_link)
Resumo;2015;PACIFICO E ET AL;[**THE DISCOVERY OF TWO THREATENED BREEDING SUBPOPULATIONS OF THE ENDANGERED LEAR'S MACAW AND THE EMERGING THREATS HIDDEN IN THE UNKNOWN CAATINGA DRY-FOREST OF BRAZIL. 9TH ANNUAL PARROTS INTERNATIONAL SYMPOSIUM. CAMPO GRANDE, BRASIL**](https://drive.google.com/file/d/17nL9XUeqUtkWIszhYWLqdvTXQn_t2qxS/view?usp=drive_link)
Resumo;2015;KANAAN VT ET AL;[**REHABILITATION OF VINACEOUS-BREASTED PARROT (AMAZONA VINACEA) FOR REINTRODUCTION AT THE ARAUC«ÅRIAS NATIONAL PARK, SANTA CATARINA, BRAZIL. 9TH ANNUAL PARROTS INTERNATIONAL SYMPOSIUM. CAMPO GRANDE, BRASIL**](https://drive.google.com/file/d/1uCdzPy1g17-5036CrKvU804ohHoSUVYG/view?usp=drive_link)
Artigo;2015;LUGARINI C ET AL;[**RICKETTSIAL AGENTS IN AVIAN IXODID TICKS IN NORTHEAST BRAZIL. TICKS AND TICK-BORNE DISEASES 6(3):364-375**]()
Artigo;2015;ELLIS VA ET AL;[**LOCAL HOST SPECIALIZATION, HOST-SWITCHING, AND DISPERSAL SHAPE THE REGIONAL DISTRIBUTIONS OF AVIAN HAEMOSPORIDIAN PARASITES. PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA 112:11294-11299**](https://drive.google.com/file/d/1i8m9xSd3v7jMfc7leOHHaeU_-fnM166U/view?usp=drive_link)
Artigo;2015;DEL LAMA SN ET AL;[**POST-BREEDING MOVEMENTS OF WOOD STORKS IN BRAZIL AND ARGENTINA. JOURNAL OF FIELD ORNITHOLOGY 86(4):283-287**](https://drive.google.com/file/d/1V-IJjx2HBc8dbUtYoCCI2V2S7WHBjqrc/view?usp=drive_link)
Artigo;2015;VIEIRA BP ET AL;[**BIRDS OF THE ARVOREDO MARINE BIOLOGICAL RESERVE, SOUTHERN BRAZIL. CHECK LIST 11(1):1532**](https://drive.google.com/file/d/1BEpH1tpJyF4IZ4NFRXhv9G1WMSssIS3O/view?usp=drive_link)
Artigo;2015;SERAFINI PP ET AL;[**O USO DA MICROBIOLOGIA COMO FERRAMENTA PARA A CONSERVA«?«üO DE AVES AMEA«?ADAS: DADOS PRELIMINARES PARA O PAPAGAIO-DE-CARA-ROXA, AMAZONA BRASILIENSIS (AVES: PSITTACIDAE) NO PARAN«Å. ARQUIVOS DE CI«?NCIAS VETERIN«ÅRIAS E ZOOLOGIA DA UNIPAR 18(1):65-69**](https://drive.google.com/file/d/1Zl28tXz_J6OCfOfdCWtMZEQCzyncDVZX/view?usp=drive_link)
Guia;2015;FARIAS FB ET AL;[**AVES DA ESTA«?«üO ECOL«?GICA DE CARIJ«?S. ICMBIO/ESTA«?«üO ECOL«?GICA DE CARIJ«?S. FLORIAN«?POLIS, BRASIL**](https://drive.google.com/file/d/1MNAQjLOll1rcJLKpjByVQ9QwgoiWpFvW/view?usp=drive_link)
P«Ôster;2015;FOLETTO V ET AL;[**AVALIA«?«üO SANIT«ÅRIA DE UM FILHOTE DE PAPAGAIO-DE-PEITO-ROXO (*AMAZONA VINACEA*) RESGATADO EM «ÅREA DE REINTRODU«?«üO DA ESP«?CIE. XVII CONGRESSO XXIV ENCONTRO ABRAVAS. CANELA, BRASIL**](https://drive.google.com/file/d/1_AyuqYpUbaqo2xVk3q_l-P_j-G6Nwdn9/view?usp=drive_link)
Resumo;2015;ROSSATO RM ET AL;[**AVIAN INVENTORY OF THE RECANTO DAS ARARAS DE TERRA RONCA EXTRACTIVE RESERVE (GOI«ÅS, BRAZIL). X NEOTROPICAL ORNITHOLOGICAL CONGRESS & XXII CONGRESSO BRASILEIRO DE ORNITOLOGIA. MANAUS, BRASIL**](https://drive.google.com/file/d/165kdSBmt2ZArzvSUDUacTUX9P99LI9ge/view?usp=drive_link)
Resumo;2015;MEURER R ET AL;[**FUNGAL CHARACTERIZATION IN OCCUPIED NESTS BY FREE-LIVING AMAZONA BRASILIENSIS. X NEOTROPICAL ORNITHOLOGICAL CONGRESS & XXII CONGRESSO BRASILEIRO DE ORNITOLOGIA. MANAUS, BRASIL**](https://drive.google.com/file/d/1py8xnfY71Y0mFFFjXCcpoeTSROeJdBfh/view?usp=drive_link)
Resumo;2015;MARIZ D ET AL;[**ESP«?CIES END«?MICAS E «ÅREAS PRIORIT«ÅRIAS PARA A CONSERVA«?«üO DA CAATINGA. X NEOTROPICAL ORNITHOLOGICAL CONGRESS & XXII CONGRESSO BRASILEIRO DE ORNITOLOGIA. MANAUS, BRASIL**](https://drive.google.com/file/d/1htP1idAb5iubvNFImSqJZnzm9s-EXHip/view?usp=drive_link)
Resumo;2015;KANAAN V ET AL;[**ANALYSIS OF BIOMETRIC DATA AND CHEST CIRCUMFERENCE OF AMAZONA VINACEA. X NEOTROPICAL ORNITHOLOGICAL CONGRESS & XXII CONGRESSO BRASILEIRO DE ORNITOLOGIA. MANAUS, BRASIL**](https://drive.google.com/file/d/1jwwOhUuN7Hw3Db1VFT9O8ZfTqXy2bzoW/view?usp=drive_link)
Resumo;2015;SERAFINI PP ET AL;[**CURRENT HEALTH AND REPRODUCTIVE STATUS OF CAPTIVE *CYANOPSITTA SPIXII* IN BRAZIL. X NEOTROPICAL ORNITHOLOGICAL CONGRESS & XXII CONGRESSO BRASILEIRO DE ORNITOLOGIA. MANAUS, BRASIL**](https://drive.google.com/file/d/1-eb-d5hp6bl5m5ZYTYLo4KsTPHxhcLrq/view?usp=drive_link)
Apresenta«ı«úo;2015; LUGARINI C;SUCCESS OF CYANOPSITTA SPIXII CAPTIVE PROGRAM. SYMPOSIUM: RESTORING BIRD POPULATIONS: MANAGEMENT STRATEGIES FOR THE CONSERVATION THREATENED SPECIES. X NEOTROPICAL ORNITHOLOGICAL CONGRESS & XXII CONGRESSO BRASILEIRO DE ORNITOLOGIA. MANAUS, BRASIL.
Resumo;2015;LUGARINI C ET AL;ACTION PLAN FOR THE CONSERVATION OF SPIX'S MACAW (*CYANOPSITTA SPIXII*): 2012 TO 2015. 9TH ANNUAL PARROTS INTERNATIONAL SYMPOSIUM. CAMPO GRANDE, BRASIL.
Apresenta«ı«úo;2015;SERAFINI PP;MERGING IN SITU AND EX-SITU CONSERVATION INITIATIVES FOR GUBERNATRIX CRISTATA: AN GOLDEN EXAMPLE FOR SOUTH BRAZIL. SYMPOSIUM: RESTORING BIRD POPULATIONS: MANAGEMENT STRATEGIES FOR THE CONSERVATION THREATENED SPECIES. X NEOTROPICAL ORNITHOLOGICAL CONGRESS & XXII CONGRESSO BRASILEIRO DE ORNITOLOGIA. MANAUS, BRASIL.
Apresenta«ı«úo;2015;SERAFINI PP;POPULATION TRENDS OF THE RED-TAILED AMAZON PARROT (AMAZONA BRASILIENSIS) AT THE PARAN«Å STATE COAST REGION. SYMPOSIUM: CITIZEN SCIENCE FOR CITIZENS AND SCIENTISTS. X NEOTROPICAL ORNITHOLOGICAL CONGRESS & XXII CONGRESSO BRASILEIRO DE ORNITOLOGIA. MANAUS, BRASIL
