Tipo,Ano,Autores,Título
Resumo,2024,ALMEIDA MIP ET AL,[**MONITORAMENTO DE ABELHAS AFRICANIZADAS NO REFÚGIO DE VIDA SILVESTRE E ÁREA DE PROTEÇÃO AMBIENTAL DA ARARINHA AZUL. XV SEMINÁRIO DE PESQUISA E XVI ENCONTRO DE INICIAÇÃO DO ICMBIO. BRASILIA, BRASIL**](https://drive.google.com/file/d/1OTBJgOTmA-Jl0Y07CT5Y1AGJT4y111ZN/view?usp=drive_link)
Artigo,2024,BOVO AAA ET AL,[**CIÊNCIA CIDADÃ APLICADA À CONSERVAÇÃO DE UMA ESPÉCIE AMEAÇADA: O CASO DO PAPAGAIO-DE-PEITO-ROXO. BIODIVERSIDADE BRASILEIRA 14(3):7-18**](https://drive.google.com/file/d/1mHulaCI1vqewZHOGCeEYVAGhn4e-MdzS/view?usp=drive_link)
Artigo,2024,BOVO AAA ET AL,[**TRAFFIC IN THE SKY: RANKING THE HAZARD BIRD SPECIES TO AIRCRAFTCOLLISION IN BRAZIL. ORNITHOLOGY RESEARCH 32(1):11–22**](https://drive.google.com/file/d/1vqy49p9p4NVeH8bIvCJhA4C6299HavPj/view?usp=drive_link)
Artigo,2024,CARVALHO JR EAR ET AL,[**TENDÊNCIAS POPULACIONAIS DE VERTEBRADOS DE MÉDIO E GRANDE PORTE EM ÁREAS PROTEGIDAS DA AMAZÔNIA BRASILEIRA. BIODIVERSIDADE BRASILEIRA 14(3):163-176**](https://drive.google.com/file/d/1913vML2Gg_K0K392QpSZY-4z9p3R9UBO/view?usp=drive_link)
Resumo,2024,CASTRO LA ET AL,[**A OBSERVAÇÃO DE AVES NAS UNIDADES DE CONSERVAÇÃO FEDERAIS: PANORAMA ATUAL, POTENCIALIDADES E DESAFIOS. XV SEMINÁRIO DE PESQUISA E XVI ENCONTRO DE INICIAÇÃO DO ICMBIO. BRASILIA, BRASIL**](https://drive.google.com/file/d/1HKrt12TgwqMerP6PiROtr3tsYiMvM02l/view?usp=drive_link)
Artigo,2024,CHALLÉAT S ET AL & SILENT CITIES PROJECT CONSORTIUM,[**A DATASET OF ACOUSTIC MEASUREMENTS FROM SOUNDSCAPES COLLECTED WORLDWIDE DURING THE COVID19 PANDEMIC. SCIENTIFIC DATA 11(1):928**](https://drive.google.com/file/d/1ylbZ6GG-QylkUrVRm658qc1ARMtNgSWz/view?usp=drive_link)
Artigo,2024,ARAÚJO CB ET AL,[**ACOUSTIC MONITORING OF ANURANS AND BIRDS IN TROPICAL BIOMES. BIOTROPICA 56:E13307**](https://drive.google.com/file/d/1V1U_m-U2omCjtkvtPRu-yolgeCs3xnPE/view?usp=drive_link)
Resumo expandido,2024,DORNAS T ET AL,[**ANÁLISES DA COBERTURA NATURAL E ANTRÓPICA ENTRE UNIDADES DE CONSERVAÇÃO DO CERRADO TOCANTINENSE. Simpósio sobre UNIDADES DE CONSERVAÇÃO NO CERRADO TOCANTINENSE. PALMAS, BRASIL**](https://drive.google.com/file/d/1rggdLVTHRkynoZXxx1xa_SBUayFJ-jTs/view?usp=drive_link)
Artigo,2024,KATH H ET AL,[**LEVERAGING TRANSFER LEARNING AND ACTIVE LEARNING FOR DATA ANNOTATION IN PASSIVE ACOUSTIC MONITORING OF WILDLIFE. ECOLOGICAL INFORMATICS 82:102710**](https://drive.google.com/file/d/1zFbPFYvTTFAj3x2q0nPQ6koGolzSniSB/view?usp=drive_link)
Resumo,2024,KATH H ET AL,[**DEMO: ENHANCING WILDLIFE ACOUSTIC DATA ANNOTATION EFFICIENCY THROUGH TRANSFER AND ACTIVE LEARNING. THIRTY-THIRD INTERNATIONAL JOINT CONFERENCE ON ARTIFICIAL INTELLIGENCE. JEJU, COREIA DO SUL (10.24963/ijcai.2024/1010)**](https://drive.google.com/file/d/1uJjebIfP79x6ModNoMWFbaidgrsNXt9M/view?usp=drive_link)
Resumo expandido,2024,LUERS B ET AL,[**BIRDNET-ANNOTATOR: AI-ASSISTED STRONG LABELLING OF BIRD SOUND DATASETS. 3rd Annual AAAI Workshop on AI to Accelerate Science and Engineering (AI2ASE). Vancouver, Canada**](https://drive.google.com/file/d/1evbhARUXbl9MSsUH01kQy02-dC6Otf4h/view?usp=drive_link)
Artigo,2024,PINHEIRO LVS ET AL,[**AVES DA RESERVA BIOLÓGICA DO GURUPI: IMPLEMENTAÇÃO DE PROTOCOLO AVANÇADO DE MONITORAMENTO E ATUALIZAÇÕES. BIODIVERSIDADE BRASILEIRA 14(3):71-104**](https://drive.google.com/file/d/129s8JpelgmxreySnvRh0w6j81_awTK9L/view?usp=drive_link)
Artigo,2024,PRESTES NP ET AL,[**VARIAÇÃO DA PRODUÇÃO DAS SEMENTES DE ARAUCARIA ANGUSTIFÓLIA AO LONGO DOS ANOS E A PREDAÇÃO PELA FAUNA SILVESTRE. REVISTA CADERNO PEDAGÓGICO 21(12):01-25**](https://drive.google.com/file/d/1MEklV0BH_PVnRcrA12nDxM2jIvyrE_RQ/view?usp=drive_link)
Resumo,2024,PRESTES NP ET AL,[**VARIAÇÃO DA PRODUÇÃO DAS SEMENTES DE ARAUCARIA ANGUSTIFÓLIA AO LONGO DOS ANOS E A PREDAÇÃO PELA FAUNA SILVESTRE. REVISTA CADERNO PEDAGÓGICO 21(12):01-25**](https://drive.google.com/file/d/1CbzFhyRdvAiDhZ7AADq5FMKoXepHr6AQ/view?usp=drive_link)
Artigo,2024,SANTOS LP S ET AL,[**NEW RECORDS OF PROCELLARIIFORMES IN THE FERNANDO DE NORONHA ARCHIPELAGO: WHO IS LOOKING OUT FOR THEM? CHECK LIST 20(1):12–28**](https://drive.google.com/file/d/1u7iCq3kvNduiBLRVglnTYTDkNfInzijt/view?usp=drive_link)
Artigo,2024,SANTOS LPS ET AL,[**BREEDING DYNAMICS AND POPULATION TREND IN THE LARGEST COLONY OF THE RED-FOOTED BOOBY SULA SULA (LINNAEUS, 1766) IN THE SOUTH ATLANTIC. BIODIVERSIDADE BRASILEIRA 14(3):36-50**](https://drive.google.com/file/d/1MKlOytOm3flHGuoVCadsMrJocyK9Z-4C/view?usp=drive_link)
Resumo,2024,SILVA IR ET AL,[**DINÂMICA DAS POPULAÇÕES DAS ABELHAS NATIVAS E O IMPACTO DO CONTROLE DAS ABELHAS AFRICANIZADAS NAS UNIDADES DE CONSERVAÇÃO DA ARARINHA AZUL. XV SEMINÁRIO DE PESQUISA E XVI ENCONTRO DE INICIAÇÃO DO ICMBIO. BRASILIA, BRASIL**](https://drive.google.com/file/d/1tpasZqVOdiyW_z4UZ9uyjc4uz6-rnZOp/view?usp=drive_link)
Artigo,2024,THOMAZELLI LM ET AL,[**EVIDENCE OF REASSORTMENT OF AVIAN INFLUENZA A (H2) VIRUSES IN BRAZILIAN SHOREBIRDS. PLOS ONE 19(5):E0300862**](https://drive.google.com/file/d/1zW57JXdhb5HxL-aeW2aNidrZDkgDW_Tg/view?usp=drive_link)
Artigo,2024,SGARIONI AZ ET AL,[**MOLECULAR SURVEY OF HAEMOSPORIDIAN PARASITES IN PROCELLARIIFORMES SAMPLED IN SOUTHERN BRAZIL, 2013–22. JOURNAL OF WILDLIFE DISEASES 60(2):413–420**](https://drive.google.com/file/d/11gpKKpYFPjoT706LxCstuSiUAvuU0T_z/view?usp=drive_link)
Artigo,2024,SERAFINI PP ET AL,[**BIOCHEMICAL AND MOLECULAR BIOMARKERS AND THEIR ASSOCIATION WITH ANTHROPOGENIC CHEMICALS IN WINTERING MANX SHEARWATERS (*PUFFINUS PUFFINUS*). MARINE POLLUTION BULLETIN 203:116398**](https://drive.google.com/file/d/1wKPTOP3X1o9suFUVCWNsRwzZ-aMF8YaS/view?usp=drive_link)
Artigo,2024,ROSA GLM ET AL,[**DATA FROM “ACOUSTIC MONITORING OF ANURANS AND BIRDS IN TROPICAL BIOMES”. ZENODO (https://doi.org/10.5281/zenodo.10556620)**](https://doi.org/10.5281/zenodo.10556620)
